,EVENT_READ,EVENT_OPEN,EVENT_WRITE,EVENT_CLOSE,EVENT_MODIFY_PROCESS,EVENT_CHANGE_PRINCIPAL,EVENT_MMAP,EVENT_LSEEK,EVENT_SENDTO,EVENT_CONNECT,EVENT_CREATE_OBJECT,EVENT_RECVFROM,EVENT_MPROTECT
9656fcbf-704b-3cc9-bb00-64e8190c33e3kk,1,0,0,0,0,0,0,0,0,0,0,0,0
a1c0fcaf-7472-38a9-8148-bb5d76b381b3,1,1,1,1,0,0,0,0,0,0,0,0,0
de874eb4-74cf-3e0b-9d41-5180f3e2a092,0,1,1,0,0,0,0,0,0,0,0,0,0
d3aa5105-fe53-326b-9a47-e473d5f1b31a,1,1,0,1,0,0,0,0,0,0,0,0,0
e683c5fe-94a1-33d1-8d04-0102c69dcfc2,1,1,0,1,0,0,0,0,0,0,0,0,0
5caee32b-eb02-3c95-885f-968474d1b53e,1,1,0,1,1,1,1,1,1,1,1,0,0
0ade7a32-6630-32d7-97c6-851a8596ebb7,1,1,1,1,0,0,0,0,0,0,0,0,0
263b0a3c-552f-3516-838a-295c0eeb6c98,1,1,0,1,0,0,0,0,0,0,0,0,0
dd9ec4de-e00f-394f-b1a9-7667949b231b,1,1,0,1,0,0,0,1,1,1,1,1,1
f6e6de2b-e9e1-3766-aff8-6a4801c6a1bb,0,0,0,0,0,0,0,0,0,0,1,0,0
