,EVENT_SIGNAL,EVENT_READ,EVENT_CLOSE,EVENT_OPEN,EVENT_WRITE,EVENT_SENDTO,EVENT_LSEEK,EVENT_EXIT,EVENT_OTHER,EVENT_FCNTL,EVENT_FORK,EVENT_CREATE_OBJECT,EVENT_MODIFY_PROCESS,EVENT_CHANGE_PRINCIPAL,EVENT_ACCEPT,EVENT_RECVFROM,EVENT_RENAME,EVENT_EXECUTE,EVENT_MMAP,EVENT_UNLINK,EVENT_MODIFY_FILE_ATTRIBUTES,EVENT_LOGIN,EVENT_CONNECT,EVENT_MPROTECT,EVENT_TRUNCATE,EVENT_SENDMSG,EVENT_RECVMSG,EVENT_LINK,EVENT_BIND
a1c0fcaf-7472-38a9-8148-bb5d76b381b3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263b0a3c-552f-3516-838a-295c0eeb6c98,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f6e6de2b-e9e1-3766-aff8-6a4801c6a1bb,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67218291-2f49-37e5-aadf-4253a2b04b2b,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de874eb4-74cf-3e0b-9d41-5180f3e2a092,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
076fbec1-1be4-3893-82ef-d369f00a5610,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bba8a11-25c2-3fbb-8b0c-2acf8371ff25,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b857105-9bc9-3a3b-ab0c-8eced00242e4,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2539ccfc-e122-32cf-bb34-589d5a89f291,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbd07e59-edf9-3f18-a1e2-caaf32cea362,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d8a40e84-8410-3122-a849-fc3158eb17f1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b2061b4-9aa7-3ff9-a52a-baffbbb5c0a2,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
a51a615b-d238-3d2d-9fc1-a2acc5e01fc4,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
a0ded03e-43d5-372f-a340-ee462093dc8b,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
a24510d6-fd4d-3956-93ce-98c8c0434261,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
7a3ddc70-10c3-3276-9fc2-f74e9efc0229,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
581f0617-ffd8-3bef-a6d2-5ab979145eb1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1fb17672-9d1b-3e79-9729-16a6ecc192e6,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
d25b1f22-3f35-31f2-8f30-d130adbe05b0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ade7a32-6630-32d7-97c6-851a8596ebb7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42785769-afaa-312f-bd4d-d1947438fc50,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
