uuid,cid,cmdLine,count,importedLibraries,iteration,localPrincipalUuid,parentSubjectUuid,privilegeLevel,properties,startTimestampNanos,subjectType,unitId
00000000-0000-0000-0000-00000bebc200,0,swapper/0,,,,00000000-0000-0000-0000-000000002710,00000000-0000-0000-0000-00000bebc200,,Map(username -> bbn| group -> | cred -> 1002/1002/1002/1002/1002/1002/1002/1002),1494261971351454000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc201,1,/sbin/init,,,,00000000-0000-0000-0000-000000002710,00000000-0000-0000-0000-00000bebc201,,Map(username -> bbn| group -> | cred -> 1002/1002/1002/1002/1002/1002/1002/1002),1494261971351498000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc202,709,/usr/sbin/sshd,,,,00000000-0000-0000-0000-000000002710,00000000-0000-0000-0000-00000bebc201,,Map(username -> bbn| group -> | cred -> 1002/1002/1002/1002/1002/1002/1002/1002),1494261971351510000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc203,3138,/usr/sbin/sshd,,,,00000000-0000-0000-0000-000000002710,00000000-0000-0000-0000-00000bebc202,,Map(username -> bbn| group -> | cred -> 1002/1002/1002/1002/1002/1002/1002/1002),1494261971351521000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc204,3243,/usr/sbin/sshd,,,,00000000-0000-0000-0000-000000002710,00000000-0000-0000-0000-00000bebc203,,Map(username -> bbn| group -> | cred -> 1002/1002/1002/1002/1002/1002/1002/1002),1494261971351531000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc205,3244,/bin/bash,,,,00000000-0000-0000-0000-000000002711,00000000-0000-0000-0000-00000bebc204,,Map(username -> theia| group -> | cred -> 1000/1000/1000/1000/1000/1000/1000/1000),1494261971351839000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc206,3366,/bin/su,,,,00000000-0000-0000-0000-000000002711,00000000-0000-0000-0000-00000bebc205,,Map(username -> theia| group -> | cred -> 1000/1000/1000/1000/1000/1000/1000/1000),1494261971351880000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc207,3373,/bin/bash,,,,00000000-0000-0000-0000-000000002711,00000000-0000-0000-0000-00000bebc206,,Map(username -> theia| group -> | cred -> 1000/1000/1000/1000/1000/1000/1000/1000),1494261971351889000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc208,2740,/usr/lib/gvfs/gvfsd-trash,,,,00000000-0000-0000-0000-000000002712,00000000-0000-0000-0000-00000bebc201,,Map(username -> steve| group -> | cred -> 1004/1004/1004/1004/1004/1004/1004/1004),1494261971352922000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc209,1348,/usr/lib/rtkit/rtkit-daemon,,,,00000000-0000-0000-0000-000000002713,00000000-0000-0000-0000-00000bebc201,,Map(username -> rtkit| group -> | cred -> 111/111/111/111/122/122/122/122),1494261973683818000,SUBJECT_PROCESS,
00000000-0000-0000-0000-00000bebc20a,1347,/usr/lib/rtkit/rtkit-daemon,,,,00000000-0000-0000-0000-000000002713,00000000-0000-0000-0000-00000bebc201,,Map(username -> rtkit| group -> | cred -> 111/111/111/111/122/122/122/122),1494261973683849000,SUBJECT_PROCESS,
