"","CondRules","ResRules","Support","Confidence","Lift"
"1","EVENT_READ","EVENT_OPEN",91.45,91.99,1
"2","EVENT_OPEN","EVENT_READ",91.45,99.43,1
"3","EVENT_LSEEK","EVENT_OPEN",68.33,99.99,1.087
"4","EVENT_OPEN","EVENT_LSEEK",68.33,74.29,1.087
"5","EVENT_MMAP","EVENT_OPEN",68.3,100,1.087
"6","EVENT_OPEN","EVENT_MMAP",68.3,74.26,1.087
"7","EVENT_CREATE_OBJECT","EVENT_OPEN",13.19,99.57,1.083
"8","EVENT_OPEN","EVENT_CREATE_OBJECT",13.19,14.34,1.083
"9","EVENT_CONNECT","EVENT_OPEN",10.16,99.83,1.085
"10","EVENT_OPEN","EVENT_CONNECT",10.16,11.04,1.085
"11","EVENT_CLOSE","EVENT_OPEN",51.4,99.99,1.087
"12","EVENT_OPEN","EVENT_CLOSE",51.4,55.88,1.087
"13","EVENT_CHANGE_PRINCIPAL","EVENT_OPEN",12.62,99.95,1.087
"14","EVENT_OPEN","EVENT_CHANGE_PRINCIPAL",12.62,13.72,1.087
"15","EVENT_LSEEK","EVENT_READ",68.33,99.98,1.006
"16","EVENT_READ","EVENT_LSEEK",68.33,68.73,1.006
"17","EVENT_MMAP","EVENT_READ",68.24,99.9,1.005
"18","EVENT_READ","EVENT_MMAP",68.24,68.64,1.005
"19","EVENT_CREATE_OBJECT","EVENT_READ",13.22,99.78,1.004
"20","EVENT_READ","EVENT_CREATE_OBJECT",13.22,13.3,1.004
"21","EVENT_CONNECT","EVENT_READ",10.16,99.83,1.004
"22","EVENT_READ","EVENT_CONNECT",10.16,10.22,1.004
"23","EVENT_CLOSE","EVENT_READ",51.38,99.94,1.005
"24","EVENT_READ","EVENT_CLOSE",51.38,51.68,1.005
"25","EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.62,99.95,1.005
"26","EVENT_READ","EVENT_CHANGE_PRINCIPAL",12.62,12.7,1.005
"27","EVENT_MMAP","EVENT_LSEEK",68.17,99.8,1.46
"28","EVENT_LSEEK","EVENT_MMAP",68.17,99.75,1.46
"29","EVENT_CREATE_OBJECT","EVENT_LSEEK",13.18,99.53,1.456
"30","EVENT_LSEEK","EVENT_CREATE_OBJECT",13.18,19.29,1.456
"31","EVENT_CONNECT","EVENT_LSEEK",10.16,99.83,1.461
"32","EVENT_LSEEK","EVENT_CONNECT",10.16,14.86,1.461
"33","EVENT_CLOSE","EVENT_LSEEK",28.28,55.01,0.805
"34","EVENT_LSEEK","EVENT_CLOSE",28.28,41.38,0.805
"35","EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.62,99.91,1.462
"36","EVENT_LSEEK","EVENT_CHANGE_PRINCIPAL",12.62,18.46,1.462
"37","EVENT_CREATE_OBJECT","EVENT_MMAP",13.06,98.62,1.444
"38","EVENT_MMAP","EVENT_CREATE_OBJECT",13.06,19.12,1.444
"39","EVENT_CONNECT","EVENT_MMAP",10.03,98.59,1.443
"40","EVENT_MMAP","EVENT_CONNECT",10.03,14.69,1.443
"41","EVENT_CLOSE","EVENT_MMAP",28.32,55.1,0.807
"42","EVENT_MMAP","EVENT_CLOSE",28.32,41.46,0.807
"43","EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.61,99.82,1.461
"44","EVENT_MMAP","EVENT_CHANGE_PRINCIPAL",12.61,18.45,1.461
"45","EVENT_CONNECT","EVENT_CREATE_OBJECT",10.17,100,7.55
"46","EVENT_CREATE_OBJECT","EVENT_CONNECT",10.17,76.81,7.55
"47","EVENT_CLOSE","EVENT_CREATE_OBJECT",12.83,24.96,1.884
"48","EVENT_CREATE_OBJECT","EVENT_CLOSE",12.83,96.85,1.884
"49","EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT",12.08,95.65,7.221
"50","EVENT_CREATE_OBJECT","EVENT_CHANGE_PRINCIPAL",12.08,91.19,7.221
"51","EVENT_CLOSE","EVENT_CONNECT",10.01,19.47,1.914
"52","EVENT_CONNECT","EVENT_CLOSE",10.01,98.37,1.914
"53","EVENT_CHANGE_PRINCIPAL","EVENT_CLOSE",12.44,98.55,1.917
"54","EVENT_CLOSE","EVENT_CHANGE_PRINCIPAL",12.44,24.21,1.917
"55","EVENT_READ,EVENT_LSEEK","EVENT_OPEN",68.32,99.99,1.087
"56","EVENT_OPEN,EVENT_LSEEK","EVENT_READ",68.32,99.98,1.006
"57","EVENT_OPEN,EVENT_READ","EVENT_LSEEK",68.32,74.71,1.093
"58","EVENT_LSEEK","EVENT_OPEN,EVENT_READ",68.32,99.97,1.093
"59","EVENT_READ","EVENT_OPEN,EVENT_LSEEK",68.32,68.73,1.006
"60","EVENT_OPEN","EVENT_READ,EVENT_LSEEK",68.32,74.28,1.087
"61","EVENT_READ,EVENT_MMAP","EVENT_OPEN",68.24,100,1.087
"62","EVENT_OPEN,EVENT_MMAP","EVENT_READ",68.24,99.9,1.005
"63","EVENT_OPEN,EVENT_READ","EVENT_MMAP",68.24,74.62,1.092
"64","EVENT_MMAP","EVENT_OPEN,EVENT_READ",68.24,99.9,1.092
"65","EVENT_READ","EVENT_OPEN,EVENT_MMAP",68.24,68.64,1.005
"66","EVENT_OPEN","EVENT_READ,EVENT_MMAP",68.24,74.19,1.087
"67","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_OPEN",13.18,99.74,1.084
"68","EVENT_OPEN,EVENT_CREATE_OBJECT","EVENT_READ",13.18,99.96,1.005
"69","EVENT_OPEN,EVENT_READ","EVENT_CREATE_OBJECT",13.18,14.42,1.088
"70","EVENT_CREATE_OBJECT","EVENT_OPEN,EVENT_READ",13.18,99.53,1.088
"71","EVENT_READ","EVENT_OPEN,EVENT_CREATE_OBJECT",13.18,13.26,1.005
"72","EVENT_OPEN","EVENT_READ,EVENT_CREATE_OBJECT",13.18,14.33,1.084
"73","EVENT_READ,EVENT_CONNECT","EVENT_OPEN",10.15,99.94,1.087
"74","EVENT_OPEN,EVENT_CONNECT","EVENT_READ",10.15,99.94,1.005
"75","EVENT_OPEN,EVENT_READ","EVENT_CONNECT",10.15,11.1,1.091
"76","EVENT_CONNECT","EVENT_OPEN,EVENT_READ",10.15,99.78,1.091
"77","EVENT_READ","EVENT_OPEN,EVENT_CONNECT",10.15,10.21,1.005
"78","EVENT_OPEN","EVENT_READ,EVENT_CONNECT",10.15,11.04,1.087
"79","EVENT_READ,EVENT_CLOSE","EVENT_OPEN",51.37,99.99,1.087
"80","EVENT_OPEN,EVENT_CLOSE","EVENT_READ",51.37,99.94,1.005
"81","EVENT_OPEN,EVENT_READ","EVENT_CLOSE",51.37,56.17,1.093
"82","EVENT_CLOSE","EVENT_OPEN,EVENT_READ",51.37,99.93,1.093
"83","EVENT_READ","EVENT_OPEN,EVENT_CLOSE",51.37,51.67,1.005
"84","EVENT_OPEN","EVENT_READ,EVENT_CLOSE",51.37,55.85,1.087
"85","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_OPEN",12.62,99.95,1.087
"86","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.62,99.95,1.005
"87","EVENT_OPEN,EVENT_READ","EVENT_CHANGE_PRINCIPAL",12.62,13.8,1.093
"88","EVENT_CHANGE_PRINCIPAL","EVENT_OPEN,EVENT_READ",12.62,99.91,1.093
"89","EVENT_READ","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL",12.62,12.69,1.005
"90","EVENT_OPEN","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.62,13.72,1.087
"91","EVENT_LSEEK,EVENT_MMAP","EVENT_OPEN",68.17,100,1.087
"92","EVENT_OPEN,EVENT_MMAP","EVENT_LSEEK",68.17,99.8,1.46
"93","EVENT_OPEN,EVENT_LSEEK","EVENT_MMAP",68.17,99.76,1.46
"94","EVENT_MMAP","EVENT_OPEN,EVENT_LSEEK",68.17,99.8,1.46
"95","EVENT_LSEEK","EVENT_OPEN,EVENT_MMAP",68.17,99.75,1.46
"96","EVENT_OPEN","EVENT_LSEEK,EVENT_MMAP",68.17,74.11,1.087
"97","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_OPEN",13.18,100,1.087
"98","EVENT_OPEN,EVENT_CREATE_OBJECT","EVENT_LSEEK",13.18,99.96,1.463
"99","EVENT_OPEN,EVENT_LSEEK","EVENT_CREATE_OBJECT",13.18,19.29,1.456
"100","EVENT_CREATE_OBJECT","EVENT_OPEN,EVENT_LSEEK",13.18,99.53,1.456
"101","EVENT_LSEEK","EVENT_OPEN,EVENT_CREATE_OBJECT",13.18,19.29,1.463
"102","EVENT_OPEN","EVENT_LSEEK,EVENT_CREATE_OBJECT",13.18,14.33,1.087
"103","EVENT_LSEEK,EVENT_CONNECT","EVENT_OPEN",10.16,100,1.087
"104","EVENT_OPEN,EVENT_CONNECT","EVENT_LSEEK",10.16,100,1.463
"105","EVENT_OPEN,EVENT_LSEEK","EVENT_CONNECT",10.16,14.86,1.461
"106","EVENT_CONNECT","EVENT_OPEN,EVENT_LSEEK",10.16,99.83,1.461
"107","EVENT_LSEEK","EVENT_OPEN,EVENT_CONNECT",10.16,14.86,1.463
"108","EVENT_OPEN","EVENT_LSEEK,EVENT_CONNECT",10.16,11.04,1.087
"109","EVENT_LSEEK,EVENT_CLOSE","EVENT_OPEN",28.28,100,1.087
"110","EVENT_OPEN,EVENT_CLOSE","EVENT_LSEEK",28.28,55.01,0.805
"111","EVENT_OPEN,EVENT_LSEEK","EVENT_CLOSE",28.28,41.38,0.805
"112","EVENT_CLOSE","EVENT_OPEN,EVENT_LSEEK",28.28,55.01,0.805
"113","EVENT_LSEEK","EVENT_OPEN,EVENT_CLOSE",28.28,41.38,0.805
"114","EVENT_OPEN","EVENT_LSEEK,EVENT_CLOSE",28.28,30.74,1.087
"115","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_OPEN",12.62,100,1.087
"116","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.62,99.95,1.463
"117","EVENT_OPEN,EVENT_LSEEK","EVENT_CHANGE_PRINCIPAL",12.62,18.46,1.462
"118","EVENT_CHANGE_PRINCIPAL","EVENT_OPEN,EVENT_LSEEK",12.62,99.91,1.462
"119","EVENT_LSEEK","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL",12.62,18.46,1.463
"120","EVENT_OPEN","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.62,13.72,1.087
"121","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_OPEN",13.06,100,1.087
"122","EVENT_OPEN,EVENT_CREATE_OBJECT","EVENT_MMAP",13.06,99.05,1.45
"123","EVENT_OPEN,EVENT_MMAP","EVENT_CREATE_OBJECT",13.06,19.12,1.444
"124","EVENT_CREATE_OBJECT","EVENT_OPEN,EVENT_MMAP",13.06,98.62,1.444
"125","EVENT_MMAP","EVENT_OPEN,EVENT_CREATE_OBJECT",13.06,19.12,1.45
"126","EVENT_OPEN","EVENT_MMAP,EVENT_CREATE_OBJECT",13.06,14.2,1.087
"127","EVENT_MMAP,EVENT_CONNECT","EVENT_OPEN",10.03,100,1.087
"128","EVENT_OPEN,EVENT_CONNECT","EVENT_MMAP",10.03,98.76,1.446
"129","EVENT_OPEN,EVENT_MMAP","EVENT_CONNECT",10.03,14.69,1.443
"130","EVENT_CONNECT","EVENT_OPEN,EVENT_MMAP",10.03,98.59,1.443
"131","EVENT_MMAP","EVENT_OPEN,EVENT_CONNECT",10.03,14.69,1.446
"132","EVENT_OPEN","EVENT_MMAP,EVENT_CONNECT",10.03,10.91,1.087
"133","EVENT_MMAP,EVENT_CLOSE","EVENT_OPEN",28.32,100,1.087
"134","EVENT_OPEN,EVENT_CLOSE","EVENT_MMAP",28.32,55.1,0.807
"135","EVENT_OPEN,EVENT_MMAP","EVENT_CLOSE",28.32,41.46,0.807
