"","Objects","AVGScoresOfObjectsConfidence","AVGScoresOfObjectsLift"
"1","a1c0fcaf-7472-38a9-8148-bb5d76b381b3","3.11230976645697e+23","5.49554701899621e+20"
"2","f6e6de2b-e9e1-3766-aff8-6a4801c6a1bb","9.72025603887445e+38","5.95641212089908e+35"
"3","67218291-2f49-37e5-aadf-4253a2b04b2b","1.64434857813888e+22","33233073713782112256"
"4","de874eb4-74cf-3e0b-9d41-5180f3e2a092","1.97481729241131e+57","2.79169423492001e+54"
"5","fbd07e59-edf9-3f18-a1e2-caaf32cea362","7.45470035847939e+20","479540546171836224"
"6","0ade7a32-6630-32d7-97c6-851a8596ebb7","4.93889224238879e+39","9.7859400133554e+36"
"7","d3aa5105-fe53-326b-9a47-e473d5f1b31a","1.68321487133393e+22","33272071517053710336"
"8","7e058cca-e7e4-39e7-ba9f-0d66b9d3bf4a","6.9727998201809e+64","4.87711110398735e+61"
"9","9656fcbf-704b-3cc9-bb00-64e8190c33e3","7.45470035847939e+20","479540546171836224"
"10","59f8e768-eee5-3639-a01b-f1b381401e13","3.03359821157671e+57","2.79409902744772e+54"
"11","dd9ec4de-e00f-394f-b1a9-7667949b231b","18443097348.3237","31272865.2540287"
"12","eacc9d88-beb2-3a4d-a218-e90403ce0b88","4.2018331206473e+22","32631815257862254592"
"13","0e48f8f9-16dd-393d-9e1c-b2bc5f276c72","18443097348.3237","31272865.2540287"
"14","1ce1a5fb-2404-359e-9a0a-65b1642ce564","6.9727998201809e+64","4.87711110398735e+61"
"15","dc1a5e3f-4b94-3bd8-8e0d-51790f628e00","1.46926230545018e+38","1.46457693913086e+35"
"16","5d7e4bc5-e70d-3ee7-a994-401240de2a17","7.45470035847939e+20","479540546171836224"
"17","39cd08b3-e9b8-3474-bfb7-91509a259193","3.11230976645697e+23","5.49554701899621e+20"
"18","0b58db2b-0e02-3c1b-8de5-323d281800f7","7.45470035847939e+20","479540546171836224"
