# Database file name:              /home/terminator2/Documents/R_Projects/AnomalyRulesMining/coron-0.8/../shifted.basenum
# Database file size:              21,716 bytes
# Number of lines:                 1,965
# Total number of attributes:      17
# Number of non empty attributes:  17
# Number of attributes in average: 4.58
# Density:                         26.96%
# min_supp:                        5, i.e. 0.25%
# Chosen algorithm:                A-Close

{1} (1588) [key: +; closure: {1}]
{3} (314) [key: +; closure: {3}]
{4} (266) [key: +; closure: {4, 11}]
{5} (16) [key: +; closure: {5}]
{6} (1584) [key: +; closure: {6}]
{7} (1293) [key: +; closure: {6, 7}]
{8} (263) [key: +; closure: {8, 11}]
{9} (26) [key: +; closure: {1, 6, 8, 9, 11}]
{10} (15) [key: +; closure: {8, 10, 11}]
{11} (321) [key: +; closure: {11}]
{12} (54) [key: +; closure: {6, 12}]
{13} (1261) [key: +; closure: {13}]
{14} (1249) [key: +; closure: {1, 6, 14}]
{15} (453) [key: +; closure: {15}]
{16} (6) [key: +; closure: {16}]
{17} (293) [key: +; closure: {17}]

{1, 3} (290) [key: +; closure: {1, 3}]
{1, 4} (261) [key: +; closure: {1, 4, 6, 11}]
{1, 5} (10) [key: +; closure: {1, 5, 6, 7}]
{1, 6} (1548) [key: +; closure: {1, 6}]
{1, 7} (1280) [key: +; closure: {1, 6, 7}]
{1, 8} (257) [key: +; closure: {1, 6, 8, 11}]
{1, 10} (14) [key: +; closure: {1, 6, 8, 10, 11, 13}]
{1, 11} (315) [key: +; closure: {1, 6, 11}]
{1, 12} (50) [key: +; closure: {1, 6, 12}]
{1, 13} (1259) [key: +; closure: {1, 6, 13}]
{1, 15} (143) [key: +; closure: {1, 15}]
{1, 17} (288) [key: +; closure: {1, 17}]
{3, 4} (220) [key: +; closure: {3, 4, 8, 11}]
{3, 6} (287) [key: +; closure: {1, 3, 6}]
{3, 7} (68) [key: +; closure: {1, 3, 6, 7}]
{3, 8} (226) [key: +; closure: {3, 8, 11}]
