 ,55977,36301,55971,57290,55978,36485,57288,63509,129.55.12.81,127.0.0.1,10.0.6.253,63391,128.55.12.167,128.55.12.253,55798,36166,41458,57278,36748,129.55.12.253,45280,51216,55979,55972,51752,128.55.12.81,47608,67,10.0.50.253,10.0.6.31,51989,63508,128.55.12.252,57276,10.0.4.1,63510,57277,55973,51214,57289,43380,58772,46884,36136
ef4e64ed-c4df-35ff-9aba-caa412d35cdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0290ba2-1cee-390d-9b29-e6c0c8ea8b2d,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1c5e1f03-c457-30a8-bf28-c835080c76d1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1af85fb2-021a-3544-a341-48463b4d6ef0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb68086f-ecf3-33ee-bce0-d223f94f031c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb5e5f27-2b68-3c67-94f8-d74ad1fc0235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4cc231e-366f-389c-b135-d4f9bf0b2e27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10c990fc-9a79-3b06-acd9-abe260a67d90,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0
ee5b97ef-88d2-3b00-9ca0-4535fd4fe4fc,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
b8eb065a-f0e8-313e-8d4c-351f6ea264af,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195132dc-8b67-38b8-9f6a-70e96d712a6b,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
b82d2e8a-b6d6-3db5-b167-f178d0222106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
