attack_name,day,keywords,comments
NationState–NginxDrakonvUgefal,20180406,"putfile,drakon.freebsd.x64_139.123.0.113,vUgefal","file"
NationState–NginxDrakonvUgefal,20180406,"putfile,libdrakon.freebsd.x64.so_152.111.159.139,devc","file"
NationState–NginxDrakonvUgefal,20180406,"inject,devc","file"
NationState–NginxDrakonvUgefal,20180406,"elevate,vUgefal","process"
NationState–NginxDrakonvUgefal,20180406,"exploit,81.49.200.166","connection"
NationState–NginxDrakonvUgefal,20180406,"nginx,78.205.235.65","connection"
NationState–NginxDrakonvUgefal,20180406,"nginx,200.36.109.214","connection"
NationState–NginxDrakonvUgefal,20180406,"vUgefal,139.123.0.113","connection"
NationState–NginxDrakonvUgefal,20180406,"nrtcp,154.145.113.18","connection"
NationState–NginxDrakonvUgefal,20180406,"nrtcp,61.167.39.128","connection_failed"
NationState–NginxDrakonvUgefal,20180406,"/etc/passwd,/etc/group","final_report"
NationState–NginxDrakonvUgefal,20180406,"glx_alsa_675","final_report"
NationState–NginxDrakonvUgefal,20180406,"devc,chmod","final_report"
NationState–NginxDrakon,20180411,"putfile,drakon.freebsd.x64_139.123.0.113,vUgefal","file"
NationState–NginxDrakon,20180411,"putfile,libdrakon.freebsd.x64.so_152.111.159.139,devc","file"
NationState–NginxDrakon,20180411,"inject,devc","file"
NationState–NginxDrakon,20180411,"elevate,vUgefal","process"
NationState–NginxDrakon,20180411,"exploit,81.49.200.166","connection"
NationState–NginxDrakon,20180411,"nginx,78.205.235.65","connection"
NationState–NginxDrakon,20180411,"nginx,200.36.109.214","connection"
NationState–NginxDrakon,20180411,"vUgefal,139.123.0.113","connection"
NationState–NginxDrakon,20180411,"nrtcp,154.145.113.18","connection_failed"
NationState–NginxDrakon,20180411,"nrtcp,61.167.39.128","connection"
NationState–NginxDrakon,20180411,"nginx,25.159.96.207","final_report"
NationState–NginxDrakon,20180411,"nginx,76.56.184.25","final_report"
NationState–NginxDrakon,20180411,"nginx,/etc/passwd","final_report"
NationState–NginxDrakon,20180411,"nginx,/etc/group","final_report"
NationState–NginxDrakon,20180411,"chmod,grain","final_report"
NationState–NginxDrakonXIM,20180412,"rm,grain","file"
NationState–NginxDrakonXIM,20180412,"putfile,microapt.freebsd.x64_98.15.44.232,tmux-1002","file"
NationState–NginxDrakonXIM,20180412,"rm,tmux-1002","file"
NationState–NginxDrakonXIM,20180412,"putfile,microapt.freebsd.x64_98.15.44.232,minions","file"
NationState–NginxDrakonXIM,20180412,"putfile,libdrakon.freebsd.x64.so_198.115.236.119,font","file"
NationState–NginxDrakonXIM,20180412,"elevate,/tmp/font","file"
NationState–NginxDrakonXIM,20180412,"rm,font","file"
NationState–NginxDrakonXIM,20180412,"putfile,drakon.freebsd.x64_53.158.101.118,XIM","file"
NationState–NginxDrakonXIM,20180412,"rm,minion","file"
NationState–NginxDrakonXIM,20180412,"rm,XIM","file"
NationState–NginxDrakonXIM,20180412,"putfile,microapt.freebsd.x64_98.15.44.232,netlog","file"
NationState–NginxDrakonXIM,20180412,"rm,netlog","file"
NationState–NginxDrakonXIM,20180412,"putfile,microapt.freebsd.x64_192.113.144.28,sendmail","file"
NationState–NginxDrakonXIM,20180412,"rm,sendmail","file"
NationState–NginxDrakonXIM,20180412,"putfile,microapt.freebsd.x64_192.113.144.28,main","file"
NationState–NginxDrakonXIM,20180412,"rm,main","file"
NationState–NginxDrakonXIM,20180412,"putfile,microapt.freebsd.x64_192.113.144.28,test","file"
NationState–NginxDrakonXIM,20180412,"rm,test","file"
NationState–NginxDrakonXIM,20180412,"elevate,/tmp/XIM","process"
NationState–NginxDrakonXIM,20180412,"execfile,/tmp/test","process"
NationState–NginxDrakonXIM,20180412,"exploit,25.159.96.207","connection"
NationState–NginxDrakonXIM,20180412,"nginx,76.56.184.25","connection"
NationState–NginxDrakonXIM,20180412,"nginx,155.162.39.48","connection"
NationState–NginxDrakonXIM,20180412,"XIM,53.158.101.118","connection"
NationState–NginxDrakonXIM,20180412,"sendmail,192.113.144.28","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.166","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.67","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.141","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.110","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.118","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.10","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.1","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"scan,128.55.12.55","connection_sendmail_micro_apt"
NationState–NginxDrakonXIM,20180412,"/etc/passwd","final_report"
