attack_name,date,keywords,comments
"NationState–NginxDrakonvUgefal","20180406","nginx","final_report"
"NationState–NginxDrakonvUgefal","20180406","78.205.235.65","final_report"
"NationState–NginxDrakonvUgefal","20180406","200.36.109.214","final_report"
"NationState–NginxDrakonvUgefal","20180406","passwd","final_report"
"NationState–NginxDrakonvUgefal","20180406","group","final_report"
"NationState–NginxDrakonvUgefal","20180406","vUgefal","final_report"
"NationState–NginxDrakonvUgefal","20180406","glx_alsa_675","final_report"
"NationState–NginxDrakonvUgefal","20180406","vUgefal","final_report"
"NationState–NginxDrakonvUgefal","20180406","vUgefal","final_report"
"NationState–NginxDrakonvUgefal","20180406","139.123.0.113","final_report"
"NationState–NginxDrakonvUgefal","20180406","vUgefal","final_report"
"NationState–NginxDrakonvUgefal","20180406","154.145.113.18","final_report"
"NationState–NginxDrakonvUgefal","20180406","61.167.39.128","final_report"
"NationState–NginxDrakonvUgefal","20180406","passwd","final_report"
"NationState–NginxDrakonvUgefal","20180406","group","final_report"
"NationState–NginxDrakonvUgefal","20180406","devc","final_report"
"NationState–NginxDrakonvUgefal","20180406","devc","final_report"
"NationState–NginxDrakon","20180411","nginx","final_report"
"NationState–NginxDrakon","20180411","76.56.184.25","final_report"
"NationState–NginxDrakon","20180411","155.162.39.48","final_report"
"NationState–NginxDrakon","20180411","passwd","final_report "
"NationState–NginxDrakon","20180411","group","final_report "
"NationState–NginxDrakon","20180411","grain","final_report "
"NationState–NginxDrakon","20180411","grain","final_report "
"NationState–NginxDrakonXIM","20180412","nginx","final_report "
"NationState–NginxDrakonXIM","20180412","76.56.184.25","final_report "
"NationState–NginxDrakonXIM","20180412","155.162.39.48","final_report "
"NationState–NginxDrakonXIM","20180412","passwd","final_report "
"NationState–NginxDrakonXIM","20180412","group","final_report "
"NationState–NginxDrakonXIM","20180412","grain","final_report "
"NationState–NginxDrakonXIM","20180412","tmux-1002","final_report "
"NationState–NginxDrakonXIM","20180412","tmux-1002","final_report "
"NationState–NginxDrakonXIM","20180412","tmux-1002","final_report "
"NationState–NginxDrakonXIM","20180412","minions","final_report "
"NationState–NginxDrakonXIM","20180412","minions","final_report "
"NationState–NginxDrakonXIM","20180412","font","final_report "
"NationState–NginxDrakonXIM","20180412","font","final_report "
"NationState–NginxDrakonXIM","20180412","font","final_report "
"NationState–NginxDrakonXIM","20180412","XIM","final_report "
"NationState–NginxDrakonXIM","20180412","XIM","final_report "
"NationState–NginxDrakonXIM","20180412","glx_alsa_675","final_report "
"NationState–NginxDrakonXIM","20180412","XIM","final_report "
"NationState–NginxDrakonXIM","20180412","XIM","final_report "
"NationState–NginxDrakonXIM","20180412","53.158.101.118","final_report "
"NationState–NginxDrakonXIM","20180412","passwd","final_report "
"NationState–NginxDrakonXIM","20180412","minion","final_report "
"NationState–NginxDrakonXIM","20180412","XIM","final_report "
"NationState–NginxDrakonXIM","20180412","netlog","final_report "
"NationState–NginxDrakonXIM","20180412","netlog","final_report "
"NationState–NginxDrakonXIM","20180412","netlog","final_report "
"NationState–NginxDrakonXIM","20180412","sendmail","final_report "
"NationState–NginxDrakonXIM","20180412","sendmail","final_report "
"NationState–NginxDrakonXIM","20180412","sendmail","final_report "
"NationState–NginxDrakonXIM","20180412","main","final_report "
"NationState–NginxDrakonXIM","20180412","main","final_report "
"NationState–NginxDrakonXIM","20180412","main","final_report "
"NationState–NginxDrakonXIM","20180412","test","final_report "
"NationState–NginxDrakonXIM","20180412","test","final_report "
"NationState–NginxDrakonXIM","20180412","test","final_report "
"NationState–NginxDrakonXIM","20180412","test","final_report "
"NationState–NginxDrakonXIM","20180412","192.113.144.28","final_report "
"NationState–NginxDrakonXIM","20180412","uname","final_report "
"NationState–NginxDrakonXIM","20180412","128.55.12.166","final_report "
"NationState–NginxDrakonXIM","20180412","128.55.12.67","final_report "
"NationState–NginxDrakonXIM","20180412","128.55.12.141","final_report "
"NationState–NginxDrakonXIM","20180412","128.55.12.110","final_report "
"NationState–NginxDrakonXIM","20180412","128.55.12.118","final_report "
