attack_name,day,keywords,comment
CommonThreat--PhishingE-mailLink,20180410,"www.nasa.ng,62.83.155.175",connection
CommonThreat--PhishingE-mailLink,20180410,"www.foo1.com,208.75.117.3",connection
CommonThreat--PhishingE-mailLink,20180410,"bob,everyone",final_report
CommonThreat--PhishingE-mailLink,20180410,"208.75.117.2",final_report
CommonThreat--PhishingE-mailExecutable,20180413,"tcexec","file"
CommonThreat--PhishingE-mailExecutable,20180413,"128.55.12.167,bob,everyone","final_report"
CommonThreat--PhishingE-mailExecutable,20180413,"thunderbird,128.55.12.73","final_report"
NationState--FirefoxDrakonClean,20180410,"putfile,drakon.linux.x64_161.116.88.72,clean","file"
NationState--FirefoxDrakonClean,20180410,"rm,clean","file"
NationState--FirefoxDrakonClean,20180410,"putfile,drakon.linux.x64_161.116.88.72,profile","file"
NationState--FirefoxDrakonClean,20180410,"rm,profile","file"
NationState--FirefoxDrakonClean,20180410,"elevate,clean","process"
NationState--FirefoxDrakonClean,20180410,"elevate,profile","process"
NationState--FirefoxDrakonClean,20180410,"www.allstate.com,145.199.103.57","connection"
NationState--FirefoxDrakonClean,20180410,"61.130.69.232","connection"
NationState--FirefoxDrakonClean,20180410,"www.gatech.edu,104.228.117.212","connection"
NationState--FirefoxDrakonClean,20180410,"141.43.176.203","connection"
NationState--FirefoxDrakonClean,20180410,"146.153.68.151","connection"
NationState--FirefoxDrakonClean,20180410,"161.116.88.72","connection"
NationState--FirefoxDrakonClean,20180410,"nrtcp,7.149.198.40","connection"
NationState--FirefoxDrakonClean,20180410,"whoami","final_report"
NationState--FirefoxDrakonClean,20180410,"hostname,ps,profile,clean","final_report"
NationState--FirefoxDrakonProfile,20180410,"www.gatech.edu,104.228.117.212","connection"
NationState--FirefoxDrakonProfile,20180410,"141.43.176.203","connection"
NationState--FirefoxDrakonProfile,20180410,"firefox,www.git.edu","final_report"
NationState--FirefoxDrakonProfile,20180410,"146.153.68.151","final_report"
NationState--FirefoxDrakonProfile,20180410,"/home/admin/profile,profile","final_report"
NationState--FirefoxDrakonProfile,20180410,"passwd,group","final_report"
NationState--FirefoxDrakonProfile,20180410,"xdev","final_report"
NationState--FirefoxDrakonProfile,20180410,"xdev","final_report"
NationState--FirefoxDrakonProfile,20180411,"passwd,group","final_report"
NationState--FirefoxDrakonProfile,20180411,"7.149.198.40","final_report"
NationState--FirefoxDrakonProfile,20180411,"proc,stat","final_report"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"xdev,wdev","file"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"rm,xdev","file"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"rm,wdev","file"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"putfile,libdrakon.linux.x64.so_5.214.163.155,memtrace.so","file"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"putfile,microapt.linux.x64_149.52.198.23,mail","file"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"rm,mail","file"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"inject,xdev","process"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"inject,wdev","process"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"inject,memtrace.so","process"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"elevate,mail","process"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"146.153.68.151","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"www.gatech.edu,104.228.117.212","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"141.43.176.203:80","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"146.153.68.151","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.73","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.166","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.67","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.141","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.110","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.118","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.10","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.1","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"128.55.12.55","connection"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"glx_alsa_675","final_report"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"uname","final_report"
NationState--FirefoxAndBrowserExtensionDrakon,20180412,"profile,unlink","final_report"
